nama_produk,id_kategori,id_subkategori,kode_produk,harga_produk,stok_barang,tanggal_kedaluwarsa
Kellogg's Corn Flakes,KT001,SK001,8996001600156,25000,40,2025-09-10
Energen Vanilla,KT001,SK001,8996001600157,12000,35,2025-09-15
Quaker Oats,KT001,SK001,8996001600158,28000,30,2025-09-20
Bolu Coklat,KT001,SK002,8996001600150,13000,50,2025-04-15
Roma Sari Gandum,KT001,SK002,8996001302248,8000,45,2025-04-10
Khong Guan Saltcheese,KT001,SK028,8888166607392,12000,40,2025-04-20
Oreo Original,KT001,SK004,8996001600153,7500,60,2025-07-15
Roma Malkist,KT001,SK004,8996001600154,8500,55,2025-07-20
Good Time Classic,KT001,SK004,8996001600155,9500,50,2025-07-25
Silverqueen,KT001,SK005,8996001600159,12500,40,2025-08-10
Dairy Milk Cashewnut,KT001,SK005,7622210640994,20000,35,2025-08-15
Dairy Milk Chocolate,KT001,SK005,9556182023258,20000,30,2025-08-20
Indomie Goreng,KT001,SK006,8996001600162,3500,100,2025-05-15
Pop Mie Ayam,KT001,SK006,8996001600163,5500,90,2025-05-15
Mie Sedaap Goreng,KT001,SK006,8996001600164,3500,85,2025-05-15
Ultra Milk Full Cream,KT002,SK010,8996001600165,7500,60,2025-06-10
Indomilk Coklat,KT002,SK010,8996001600166,6500,55,2025-06-15
Bear Brand,KT002,SK010,8996001600167,9500,50,2025-06-20
Nescafe Classic,KT002,SK011,8996001600168,25000,40,2025-07-10
Kapal Api Special,KT002,SK011,8996001600169,15000,35,2025-07-15
Good Day Mocacinno,KT002,SK011,8996001600170,12000,30,2025-07-20
Sariwangi Tea Bags,KT002,SK012,8996001600171,8500,45,2025-08-10
Teh Pucuk Harum,KT002,SK012,8996001600172,4000,40,2025-08-15
Teh Botol Original,KT002,SK012,8996001600173,3500,35,2025-08-20
Aqua 600ml,KT002,SK013,8996001600174,3000,100,2025-12-31
Le Minerale 600ml,KT002,SK013,8996001600175,3000,90,2025-12-31
Club 600ml,KT002,SK013,8996001600176,3000,85,2025-12-31
Champ Bakso Sapi,KT003,SK014,8996001600177,25000,30,2025-04-10
Fiesta Bakso Ikan,KT003,SK014,8996001600178,20000,25,2025-04-15
So Good Bakso Ayam,KT003,SK014,8996001600179,22000,20,2025-04-20
Champ Sosis Sapi,KT003,SK015,8996001600180,18000,35,2025-04-25
Fiesta Sosis Ayam,KT003,SK015,8996001600181,15000,30,2025-04-30
So Good Sosis Bratwurst,KT003,SK015,8996001600182,20000,25,2025-05-05
Bimoli Minyak Goreng 1L,KT007,SK016,8996001600183,20000,50,2025-10-15
Filma Minyak Goreng 1L,KT007,SK016,8996001600184,19000,45,2025-10-20
Tropical Minyak Goreng 1L,KT007,SK016,8996001600185,18000,40,2025-10-25
Gulaku Premium 1kg,KT007,SK017,8996001600186,15000,60,2025-11-10
Rose Brand Gula 1kg,KT007,SK017,8996001600187,14000,55,2025-11-15
Tropical Gula 1kg,KT007,SK017,8996001600188,13000,50,2025-11-20
Garam Cap Kapal,KT007,SK018,8996001600189,5000,70,2025-12-10
Garam Dolpin,KT007,SK018,8996001600190,4500,65,2025-12-15
Garam Refina,KT007,SK018,8996001600191,4000,60,2025-12-20
Garnier Face Wash,KT006,SK019,8996001600192,25000,40,2025-09-15
Pond's Face Wash,KT006,SK019,8996001600193,20000,35,2025-09-20
Clean & Clear Face Wash,KT006,SK019,8996001600194,18000,30,2025-09-25
Lifebuoy Sabun Mandi,KT006,SK020,8996001600195,5000,50,2025-10-15
Lux Sabun Mandi,KT006,SK020,8996001600196,6000,45,2025-10-20
Dove Sabun Mandi,KT006,SK020,8996001600197,8000,40,2025-10-25
Pantene Shampoo,KT006,SK021,8996001600198,25000,35,2025-11-15
Sunsilk Shampoo,KT006,SK021,8996001600199,20000,30,2025-11-20
Clear Shampoo,KT006,SK021,8996001600200,22000,25,2025-11-25
Pepsodent Sikat Gigi,KT006,SK022,8996001600201,8000,45,2025-12-15
Formula Sikat Gigi,KT006,SK022,8996001600202,7000,40,2025-12-20
Oral-B Sikat Gigi,KT006,SK022,8996001600203,10000,35,2025-12-25
Coca Cola Kaleng,KT002,SK023,8996001600204,5500,50,2025-08-15
Sprite Kaleng,KT002,SK023,8996001600205,5500,45,2025-08-20
Fanta Kaleng,KT002,SK023,8996001600206,5500,40,2025-08-25
Bumbu Nasi Goreng Instan,KT001,SK024,8996001600207,3500,55,2025-07-15
Kari Instan,KT001,SK024,8996001600208,4500,50,2025-07-20
Rendang Instan,KT001,SK024,8996001600209,5500,45,2025-07-25
Chitato Original,KT001,SK025,8996001600210,10000,60,2025-06-10
Lays Classic,KT001,SK025,8996001600211,9500,55,2025-06-15
Pringles Original,KT001,SK025,8996001600212,25000,50,2025-06-20
Mr.P Chili Cashew Nuts,KT001,SK027,8992709548360,45000,40,2025-08-10
Mr.P Roasted Cashew Nuts,KT001,SK027,8992709728809,45000,35,2025-08-10
