nama_produk,id_kategori,id_subkategori,kode_produk,harga_produk,stok_barang,tanggal_kedaluwarsa
Indomie Goreng Special,KT001,SK006,8997035563414,2700,40,2025-04-25
Indomie Soto,KT001,SK006,8997035563415,2700,35,2025-04-25
Mie Sedaap Goreng,KT001,SK006,8997035563416,2800,45,2025-05-15
Pop Mie Ayam,KT001,SK006,8997035563417,5500,30,2025-05-20
Chitato Sapi Panggang,KT001,SK025,8996001600146,10000,50,2025-06-10
Lays Classic,KT001,SK025,8996001600147,9500,40,2025-06-15
Qtela Singkong,KT001,SK025,8996001600148,8500,45,2025-06-20
Taro Net,KT001,SK025,8996001600149,8000,35,2025-06-25
Bolu Coklat,KT001,SK002,8996001600150,13000,30,2025-04-15
Roti Tawar,KT001,SK002,8996001600151,12000,25,2025-04-10
Oreo Original,KT001,SK004,8996001600152,7500,60,2025-07-15
Roma Malkist,KT001,SK004,8996001600153,8500,55,2025-07-20
Silverqueen,KT001,SK005,8996001600154,12500,40,2025-08-10
Cadbury Dairy Milk,KT001,SK005,8996001600155,15000,35,2025-08-15
Kellogg's Corn Flakes,KT001,SK001,8996001600156,25000,20,2025-09-10
Energen Vanilla,KT001,SK001,8996001600157,12000,45,2025-09-15
Royco Ayam,KT007,SK018,8996001600158,500,100,2025-10-20
Masako Sapi,KT007,SK018,8996001600159,500,100,2025-10-25
Pocari Sweat,KT002,SK013,8997035563418,5000,30,2025-07-18
Aqua 600ml,KT002,SK013,8997035563419,3000,100,2025-12-31
Coca Cola Kaleng,KT002,SK023,8997035563420,5500,50,2025-08-15
Sprite Kaleng,KT002,SK023,8997035563421,5500,45,2025-08-20
Nutrisari Jeruk,KT002,SK012,8997035563423,2000,85,2025-09-15
Ultra Milk Full Cream,KT002,SK010,8997035563424,7500,40,2025-06-10
Indomilk Coklat,KT002,SK010,8997035563425,6500,45,2025-06-15
Kapal Api Special,KT002,SK011,8997035563426,1500,100,2025-10-20
Teh Sari Wangi,KT002,SK012,8997035563427,8000,70,2025-10-25
Lifebuoy Merah,KT006,SK020,8995555123457,3500,60,2025-08-10
Dove White,KT006,SK020,8995555123458,8500,45,2025-08-15
Head & Shoulders,KT006,SK021,8995555123459,28000,30,2025-09-10
Pantene Anti Dandruff,KT006,SK021,8995555123460,25000,35,2025-09-15
Pepsodent White,KT006,SK022,8995555123461,15000,50,2025-10-20
Close Up Green,KT006,SK022,8995555123462,12000,45,2025-10-25
Garnier Face Wash,KT006,SK019,8995555123467,25000,30,2026-01-10
Pond's White Beauty,KT006,SK019,8995555123468,30000,25,2026-01-15
Bimoli 1L,KT007,SK016,8995555123469,20000,40,2025-08-20
Tropical 2L,KT007,SK016,8995555123470,38000,35,2025-08-25
Gulaku 1kg,KT007,SK017,8995555123475,15000,100,2025-11-20
Champ Bakso,KT003,SK014,8995179002220,28000,35,2025-08-15
Fiesta Bakso,KT003,SK014,8995179002221,26000,40,2025-08-20
Kimbo Sosis,KT003,SK015,8995179002222,18000,50,2025-09-15
Champ Sosis,KT003,SK015,8995179002223,20000,45,2025-09-20
