nama_produk,id_kategori,id_subkategori,kode_produk,harga_produk,stok_barang,tanggal_kedaluwarsa
Mie Sedaap Goreng,KT001,SK001,8999999038219,3500,120,2025-08-15
Mie Sedaap Kuah,KT001,SK001,8999999038226,3000,130,2025-08-15
Mie Sarimi Isi 2,KT001,SK001,8999999038233,5000,90,2025-08-15
Pop Mie Rasa Ayam,KT001,SK001,8999999038240,5500,80,2025-08-15
Pop Mie Rasa Bakso,KT001,SK001,8999999038257,5500,85,2025-08-15
Teh Pucuk Harum,KT002,SK012,8999999038264,4000,150,2025-08-15
Teh Kotak Ultra,KT002,SK012,8999999038271,5000,100,2025-08-15
Fruit Tea Apple,KT002,SK012,8999999038288,4500,110,2025-08-15
Fruit Tea Strawberry,KT002,SK012,8999999038295,4500,95,2025-08-15
Good Day Cappuccino,KT002,SK013,8999999038301,6000,75,2025-08-15
Good Day Mocacinno,KT002,SK013,8999999038318,6000,80,2025-08-15
Nescafe Classic,KT002,SK013,8999999038325,12000,60,2025-08-15
ABC Coffee Mix,KT002,SK013,8999999038332,10000,70,2025-08-15
Pocari Sweat,KT002,SK014,8999999038349,7000,100,2025-08-15
Mizone Active,KT002,SK014,8999999038356,6500,90,2025-08-15
Hydro Coco,KT002,SK014,8999999038363,8000,80,2025-08-15
Sprite Kaleng,KT002,SK015,8999999038370,5000,120,2025-08-15
Fanta Kaleng,KT002,SK015,8999999038387,5000,110,2025-08-15
Coca Cola Kaleng,KT002,SK015,8999999038394,5000,130,2025-08-15
Pepsi Kaleng,KT002,SK015,8999999038400,5000,100,2025-08-15
Oreo Original,KT001,SK002,8999999038417,8000,150,2025-09-15
Oreo Vanilla,KT001,SK002,8999999038424,8000,140,2025-09-15
Biskuat Original,KT001,SK002,8999999038431,6500,160,2025-09-15
Roma Malkist,KT001,SK002,8999999038448,8500,130,2025-09-15
Regal Marie,KT001,SK002,8999999038455,9000,120,2025-09-15
Qtela Singkong,KT001,SK003,8999999038462,9500,100,2025-09-15
Chitato Original,KT001,SK003,8999999038479,10000,90,2025-09-15
Lays Classic,KT001,SK003,8999999038486,10000,95,2025-09-15
Piattos Sapi Panggang,KT001,SK003,8999999038493,8500,110,2025-09-15
Cheetos Jagung,KT001,SK003,8999999038509,7500,120,2025-09-15
Sunsilk Black Shine,KT005,SK037,8999999038516,18000,70,2025-12-31
Clear Men Cool Sport,KT005,SK037,8999999038523,20000,65,2025-12-31
Pantene Anti Dandruff,KT005,SK037,8999999038530,22000,60,2025-12-31
Dove Moisture Care,KT005,SK037,8999999038547,25000,55,2025-12-31
Head & Shoulders Cool,KT005,SK037,8999999038554,23000,50,2025-12-31
Lifebuoy Total 10,KT005,SK036,8999999038561,4500,200,2025-12-31
Dettol Cool,KT005,SK036,8999999038578,5000,180,2025-12-31
Nuvo Family Care,KT005,SK036,8999999038585,3500,220,2025-12-31
Lux White Impress,KT005,SK036,8999999038592,4800,190,2025-12-31
Gatsby Water Gloss,KT005,SK039,8999999038608,15000,45,2025-12-31
Garnier Men Ice Charcol,KT005,SK039,8999999038615,18000,40,2025-12-31
Vaseline Men Face Moisturizer,KT005,SK039,8999999038622,25000,35,2025-12-31
Ponds Men Energy Charge,KT005,SK039,8999999038639,20000,50,2025-12-31
Nivea Men Facial Foam,KT005,SK039,8999999038646,22000,45,2025-12-31
Pepsodent Whitening,KT005,SK040,8999999038653,12000,100,2025-12-31
Close Up Green,KT005,SK040,8999999038660,11000,110,2025-12-31
Formula Protection,KT005,SK040,8999999038677,9000,120,2025-12-31
Sensodyne Fresh Mint,KT005,SK040,8999999038684,15000,90,2025-12-31
Ciptadent Fresh Cool,KT005,SK040,8999999038691,8000,130,2025-12-31
Systema Gum Care,KT005,SK040,8999999038707,13000,95,2025-12-31
